[ 2026-06-10 20:27:23,216 ] 228 sentence_transformers.cross_encoder.CrossEncoder - INFO - Use pytorch device: cpu
[ 2026-06-10 20:27:24,255 ] 66 root - INFO - Wrapping with ContextualCompressionRetriever...
[ 2026-06-10 20:27:24,256 ] 72 root - INFO - Advanced hybrid retriever successfully built.
[ 2026-06-10 20:27:24,256 ] 46 root - INFO - Advanced retriever built successfully.
[ 2026-06-10 20:27:24,256 ] 49 root - INFO - Creating HR RAG chain with model: 'qwen/qwen3-32b'...
[ 2026-06-10 20:27:24,256 ] 45 root - INFO - Starting initialization of HR RAG Chain using model: 'qwen/qwen3-32b'...
[ 2026-06-10 20:27:24,257 ] 47 root - INFO - Initializing Groq LLM...
[ 2026-06-10 20:27:26,674 ] 63 root - INFO - Configuring PromptTemplate...
[ 2026-06-10 20:27:26,674 ] 66 root - INFO - Constructing LCEL chain mapping...
[ 2026-06-10 20:27:26,675 ] 78 root - INFO - HR RAG Chain successfully built and ready for invocation.
[ 2026-06-10 20:27:26,675 ] 51 root - INFO - HR RAG chain created successfully.
[ 2026-06-10 20:27:26,675 ] 53 root - INFO - Pipeline initialization completed successfully.
[ 2026-06-10 20:27:56,859 ] 62 root - INFO - Question received: 'what is the leave policy?'
[ 2026-06-10 20:27:56,860 ] 67 root - INFO - Invoking RAG chain...
[ 2026-06-10 20:27:57,684 ] 25 root - INFO - Formatting 3 documents for context injection.
[ 2026-06-10 20:27:59,413 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-06-10 20:27:59,444 ] 73 root - INFO - Response received from RAG chain successfully.
[ 2026-06-10 20:29:13,634 ] 62 root - INFO - Question received: 'what is the time and attendance policy?'
[ 2026-06-10 20:29:13,634 ] 67 root - INFO - Invoking RAG chain...
[ 2026-06-10 20:29:14,348 ] 25 root - INFO - Formatting 3 documents for context injection.
[ 2026-06-10 20:29:15,767 ] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[ 2026-06-10 20:29:15,771 ] 73 root - INFO - Response received from RAG chain successfully.
[ 2026-06-10 20:36:14,095 ] 10 root - INFO - chunker.py module loaded successfully
[ 2026-06-10 20:36:14,096 ] 22 root - INFO - retriever.py module loaded successfully
[ 2026-06-10 20:36:14,097 ] 18 root - INFO - chain.py module loaded successfully
[ 2026-06-10 20:36:14,098 ] 15 root - INFO - pipeline.py module loaded successfully
[ 2026-06-10 20:36:20,501 ] 25 root - INFO - HRPipelineOrchestrator initialized | PDF: 'E:\HR_chatbot\src\hr_policy.pdf' | Model: 'llama3-70b'
[ 2026-06-10 20:36:20,501 ] 29 root - INFO - Pipeline initialization started...
[ 2026-06-10 20:36:20,501 ] 35 root - INFO - Creating ThresholdSemanticChunker...
